ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme;gid
8;8-1;8B;NOM;Perrache - Oullins Clement Desormes;Aller;30977;11033;Perrache;Oullins Clément Désormes;BUS;20200903;;REG;Régulière;True;8;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.752298+02:00;429
8;8-2;8B;NOM;Oullins Clement Desormes - Perrache;Retour;11033;30977;Oullins Clément Désormes;Perrache;BUS;20200903;;REG;Régulière;True;8;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.752966+02:00;430
6;6-3;6A;NOM;Ste-Foy Place Saint Luc - Gare d'Oullins;Aller;34271;34269;Ste-Foy Place Saint Luc;Gare d'Oullins;BUS;20211023;;REG;Régulière;False;6;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.748485+02:00;805
6;6-4;6A;NOM;Gare d'Oullins - Ste-Foy Place Saint Luc;Retour;34269;34271;Gare d'Oullins;Ste-Foy Place Saint Luc;BUS;20211023;;REG;Régulière;False;6;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.749132+02:00;806
7;7-2;7A;SPE;Laurent Bonnevay - Bonnevay Bel Air;Aller;10716;10111;Laurent Bonnevay;Bonnevay - Bel Air;BUS;20180101;;REG;Régulière;True;7;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.750421+02:00;880
2;2-1;2A;NOM;Croix-Rousse - Plateaux de St-Rambert;Aller;11119;20244;Croix-Rousse;Plateau de St Rambert;BUS;20180101;;REG;Régulière;True;2;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.741497+02:00;411
2;2-2;2A;NOM;Plateaux de St-Rambert - Croix-Rousse;Retour;20244;11119;Plateau de St Rambert;Croix-Rousse;BUS;20180101;;REG;Régulière;True;2;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.742577+02:00;412
3;3-1;3A;NOM;Gorge de Loup - Dardilly Le Jubin;Aller;10513;20189;Gorge de Loup;Dardilly Le Jubin;BUS;20180101;;REG;Régulière;True;3;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.743231+02:00;413
3;3-3;3A;NUI;Gorge de Loup - Porte de Lyon;Aller;10513;11147;Gorge de Loup;Porte de Lyon;BUS;20180101;;REG;Régulière;True;3;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.743860+02:00;415
3;3-2;3A;NOM;Gorge de Loup - Limonest Le Puy d'Or;Aller;10513;33290;Gorge de Loup;Limonest Le Puy d'Or;BUS;20180101;;REG;Régulière;True;3;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.744534+02:00;414
26;26-1;26A;NOM;Lycée Lumiere - Manissieux Pierre Blanche;Aller;32540;20079;Lycée Lumière;Manissieux P. Blanche;BUS;20180101;;REG;Régulière;True;26;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.785866+02:00;471
33;33-1;33A;NOM;Croix-Rousse - Rillieux Les Alagniers;Aller;11119;33420;Croix-Rousse;Rillieux - Les Alagniers;BUS;20180101;;REG;Régulière;True;33;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.798207+02:00;485
33;33-2;33A;NOM;Rillieux Les Alagniers - Croix-Rousse;Retour;33420;11119;Rillieux - Les Alagniers;Croix-Rousse;BUS;20180101;;REG;Régulière;True;33;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.798847+02:00;486
ZI3;ZI3-3;ZI3A;NOM;Z.I. Vaulx-en-Velin Est - Vaulx-en-Velin La Soie;Retour;33644;31760;Z.I. Vaulx-en-Velin Est;Vaulx-en-Velin La Soie;BUS;20180101;;REG;Régulière;True;Z I3;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:27.027666+02:00;666
12;12-1;12C;NOR;Gare d'Oullins - Hopital Lyon Sud;Aller;34269;10565;Gare d'Oullins;St-Genis-Laval Hôp. Sud;BUS;20211023;;REG;Régulière;False;12;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.759003+02:00;809
12;12-2;12C;NOR;Hopital Lyon Sud - Gare d'Oullins;Retour;10565;34269;St-Genis-Laval Hôp. Sud;Gare d'Oullins;BUS;20211023;;REG;Régulière;False;12;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.759816+02:00;810
45;45-2;45B;NOM;Valdo - Croix-Rousse;Retour;11411;11119;Valdo;Croix-Rousse;BUS;20300320;;REG;Régulière;True;45;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.813080+02:00;504
S10;S10-1;S10A;NOM;Joannès Carret - Lycée Jean Perrin;Aller;10599;10878;Joannès Carret;Lycée Jean Perrin;BUS;20180101;;REG;Régulière;True;S 10;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:27.011525+02:00;644
15;15-3;15C;NOM;Bellecour Charite - Irigny Hauts de Selettes;Aller;10077;32640;Bellecour Charité;Irigny Hauts de Selettes;BUS;20130522;;REG;Régulière;True;15;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.761998+02:00;851
15;15-1;15C;NOM;Bellecour Charite - Irigny Hauts de Selettes;Aller;10077;32640;Bellecour Charité;Irigny Hauts de Selettes;BUS;20210401;;REG;Régulière;True;15;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.762677+02:00;439
