ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme;gid;couleur
F2;F2-1;326;NOM;Vieux Lyon - Fourviere;Aller;30049;30055;Vieux Lyon Cat.St Jean;Fourvière Basilique;FUN;20180101;;REG;Régulière;True;F  2;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.364963+02:00;23;38 115 0
A;A-2;301A;NOM;Vaulx-en-Velin La Soie - Perrache;Retour;31770;30178;Vaulx-en-Velin La Soie.;Perrache;MET;20180101;;REG;Régulière;True;A;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.352575+02:00;14;255 0 0
F1;F1-1;325;NOM;Vieux Lyon - Saint-Just;Aller;30049;30054;Vieux Lyon Cat.St Jean;St Just;FUN;20180101;;REG;Régulière;True;F  1;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.362028+02:00;21;38 115 0
D;D-2;304;NOM;Gare de Vénissieux - Gare de Vaise;Retour;31820;31834;Gare de Vénissieux.;Gare de Vaise.;MET;20180101;;REG;Régulière;True;D;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.360602+02:00;20;56 168 0
F1;F1-2;325;NOM;Saint-Just - Vieux Lyon;Retour;30054;30049;St Just;Vieux Lyon Cat.St Jean;FUN;20180101;;REG;Régulière;True;F  1;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.363360+02:00;22;38 115 0
F2;F2-2;326;NOM;Fourviere - Vieux Lyon;Retour;30055;30049;Fourvière Basilique;Vieux Lyon Cat.St Jean;FUN;20180101;;REG;Régulière;True;F  2;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.365534+02:00;24;38 115 0
A;A-1;301A;NOM;Perrache - Vaulx-en-Velin La Soie;Aller;30017;31750;Perrache.;Vaulx-en-Velin La Soie;MET;20180101;;REG;Régulière;True;A;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.351620+02:00;13;255 0 0
C;C-1;303;NOM;Hôtel de Ville  Louis Pradel - Cuire;Aller;30021;30036;Hôtel de Ville L.Pradel;Cuire;MET;20180101;;REG;Régulière;True;C;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.354556+02:00;17;255 132 0
B;B-3;302A;NOM;Charpennes Charles Hernu . - ST-GENIS-LAVAL Hop. Sud;Aller;30024;34664;Charpennes Charles Hernu .;ST-GENIS-LAVAL Hop. Sud;MET;20231020;;REG;Régulière;True;B;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.353264+02:00;25;0 92 230
B;B-4;302A;NOM;ST-GENIS-LAVAL Hop. Sud. - Charpennes Charles Hernu .;Retour;34665;30024;ST-GENIS-LAVAL Hop. Sud.;Charpennes Charles Hernu .;MET;20231020;;REG;Régulière;True;B;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.353920+02:00;26;0 92 230
C;C-2;303;NOM;Cuire - Hôtel de Ville  Louis Pradel;Retour;30036;30021;Cuire;Hôtel de Ville L.Pradel;MET;20180101;;REG;Régulière;True;C;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.355104+02:00;18;255 132 0
D;D-1;304;NOM;Gare de Vaise - Gare de Vénissieux;Aller;30052;30175;Gare de Vaise;Gare de Vénissieux;MET;20180101;;REG;Régulière;True;D;Octobre2023;2023-10-10 18:55:23+02:00;2024-09-06 06:01:25.358339+02:00;19;56 168 0
