number;name;address;address2;address_jcd;commune;nmarrond;bonus;pole;bike_stands;available_bike_stands;available_bikes;availabilitycode;availability;status;banking;lat;lng;gid;last_update;last_update_fme;last_update_gl;code_insee;langue;etat;nature;titre;description;startdate;enddate;overflow;total_stands;main_stands;overflow_stands
8011;8011 - PLACE LEBRET;Place Lebret;Angle Route de Vienne;Côté route de Vienne;Lyon 8e Arrondissement;11;False;Coeur quartier;14;8;6;1;Vert;OPEN;False;45,7356530000000000;4,8530420000000000;128;2024-08-30 14:45:49+02:00;2024-08-30 14:49:03.404994+02:00;2024-08-30 14:46:00.510929+02:00;69388;;;;;;;;False;"{'capacity': 14, 'availabilities': {'bikes': 6, 'stands': 8, 'electricalBikes': 1, 'mechanicalBikes': 5, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 1}}";"{'capacity': 14, 'availabilities': {'bikes': 6, 'stands': 8, 'electricalBikes': 1, 'mechanicalBikes': 5, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 1}}";
1006;1006- SUBSISTANCES;14, Quai Saint Vincent;;12 QUAI ST VINCENT;Lyon 1er Arrondissement;6;False;Les Subsistances;22;21;1;1;Vert;OPEN;False;45,7679120000000000;4,8198720000000000;129;2024-08-30 14:48:48+02:00;2024-08-30 14:49:03.405183+02:00;2024-08-30 14:46:00.523994+02:00;69381;;;;;;;;False;"{'capacity': 22, 'availabilities': {'bikes': 1, 'stands': 21, 'electricalBikes': 0, 'mechanicalBikes': 1, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}}";"{'capacity': 22, 'availabilities': {'bikes': 1, 'stands': 21, 'electricalBikes': 0, 'mechanicalBikes': 1, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}}";
1034;1034 - CARMÉLITES;Face 30, Montée des Carmélites;;30 MONTEE DES CARMELITES;Lyon 1er Arrondissement;34;False;Pentes - Jardin public;16;15;1;1;Vert;OPEN;False;45,7700060000000000;4,8292740000000000;435;2024-08-30 14:45:15+02:00;2024-08-30 14:49:03.406948+02:00;2024-08-30 14:46:00.537611+02:00;69381;;;;;;;;False;"{'capacity': 16, 'availabilities': {'bikes': 1, 'stands': 15, 'electricalBikes': 1, 'mechanicalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 1}}";"{'capacity': 16, 'availabilities': {'bikes': 1, 'stands': 15, 'electricalBikes': 1, 'mechanicalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 1}}";
6033;6033 - CRÉQUI / LAFAYETTE;153, Rue de Créqui;Angle Cours Lafayette;153 RUE CREQUI;Lyon 6e Arrondissement;;False;Part-Dieu;15;10;5;1;Vert;OPEN;False;45,7637550000000000;4,8470820000000000;146;2024-08-30 14:41:38+02:00;2024-08-30 14:49:03.413520+02:00;2024-08-30 14:46:00.516421+02:00;69386;;;;;;;;False;"{'capacity': 15, 'availabilities': {'bikes': 5, 'stands': 10, 'electricalBikes': 4, 'mechanicalBikes': 1, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 4}}";"{'capacity': 15, 'availabilities': {'bikes': 5, 'stands': 10, 'electricalBikes': 4, 'mechanicalBikes': 1, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 4}}";
10015;10015 - POUDRETTE / MUSSET;112, Rue de la Poudrette;;;Villeurbanne;;False;;18;15;3;1;Vert;OPEN;False;45,7579360000000000;4,9211560000000000;340;2024-08-30 14:46:52+02:00;2024-08-30 14:49:03.493025+02:00;2024-08-30 14:46:00.532738+02:00;69266;;;;;;;;False;"{'capacity': 18, 'availabilities': {'bikes': 3, 'stands': 15, 'electricalBikes': 1, 'mechanicalBikes': 2, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 1}}";"{'capacity': 18, 'availabilities': {'bikes': 3, 'stands': 15, 'electricalBikes': 1, 'mechanicalBikes': 2, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 1}}";
8050;8050 - BATAILLE / KRÜGER;Face 140, Rue Bataille;;;Lyon 8e Arrondissement;;False;Logements;18;1;17;1;Vert;OPEN;False;45,7362190000000000;4,8798550000000000;339;2024-08-30 14:42:39+02:00;2024-08-30 14:49:03.492824+02:00;2024-08-30 14:46:00.508802+02:00;69388;;;;;;;;False;"{'capacity': 18, 'availabilities': {'bikes': 17, 'stands': 1, 'electricalBikes': 12, 'mechanicalBikes': 5, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 12}}";"{'capacity': 18, 'availabilities': {'bikes': 17, 'stands': 1, 'electricalBikes': 12, 'mechanicalBikes': 5, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 12}}";
3033;3033 - OL STADIUM ÉPHÉMÈRE;10, Avenue Simone Veil;Groupama Stadium;;Décines-Charpieu;;False;Groupama Stadium;118;114;3;1;Vert;OPEN;True;45,7679258135543000;4,9811741307869400;436;2024-08-30 14:48:37+02:00;2024-08-30 14:49:03.493472+02:00;2024-08-30 14:46:00.535786+02:00;69275;;;;;;;;True;"{'capacity': 118, 'availabilities': {'bikes': 3, 'stands': 114, 'electricalBikes': 0, 'mechanicalBikes': 3, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}}";"{'capacity': 18, 'availabilities': {'bikes': 3, 'stands': 15, 'electricalBikes': 0, 'mechanicalBikes': 3, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}}";"{'capacity': 100, 'availabilities': {'bikes': 0, 'stands': 99, 'electricalBikes': 0, 'mechanicalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}}"
7022;7022 - JAURÈS / LAGRANGE;Avenue Jean Jaurès;Angle Rue de Gerland;16 Impasse du Pré Gaudry 69007 Lyon;Lyon 7e Arrondissement;22;False;Gare SNCF - Piste cyclable - Commerces;30;0;30;2;Bleu;OPEN;True;45,7439750000000000;4,8414630000000000;346;2024-08-30 14:42:17+02:00;2024-08-30 14:49:03.494469+02:00;2024-08-30 14:46:00.519359+02:00;69387;;;;;;;;False;"{'capacity': 30, 'availabilities': {'bikes': 30, 'stands': 0, 'electricalBikes': 15, 'mechanicalBikes': 15, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 15}}";"{'capacity': 30, 'availabilities': {'bikes': 30, 'stands': 0, 'electricalBikes': 15, 'mechanicalBikes': 15, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 15}}";
4011;4011 - PLACE JOANNÈS AMBRE;Place Joannès Ambre;Angle Grande Rue de la Croix-Rousse;Place Jean Ambre;Lyon 4e Arrondissement;11;True;Théâtre - Coeur quartier - Hôpital;20;20;0;3;Orange;OPEN;True;45,7815740000000000;4,8328660000000000;354;2024-08-30 14:48:01+02:00;2024-08-30 14:49:03.496018+02:00;2024-08-30 14:46:00.514100+02:00;69384;;;;;;;;False;"{'capacity': 20, 'availabilities': {'bikes': 0, 'stands': 20, 'electricalBikes': 0, 'mechanicalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}}";"{'capacity': 20, 'availabilities': {'bikes': 0, 'stands': 20, 'electricalBikes': 0, 'mechanicalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}}";
1002;1002 - OPÉRA;Face 18, Rue Joseph Serlin;;Angle rue Serlin - Angle place de la comédie;Lyon 1er Arrondissement;2;False;Opéra -  Métro A, C - Mairie centrale;41;38;2;1;Vert;OPEN;True;45,7676110000000000;4,8366190000000000;355;2024-08-30 14:48:47+02:00;2024-08-30 14:49:03.496211+02:00;2024-08-30 14:46:00.536963+02:00;69381;;;;;;;;False;"{'capacity': 41, 'availabilities': {'bikes': 2, 'stands': 38, 'electricalBikes': 0, 'mechanicalBikes': 3, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}}";"{'capacity': 41, 'availabilities': {'bikes': 2, 'stands': 38, 'electricalBikes': 0, 'mechanicalBikes': 3, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}}";
