FID,id,nom,desserte,pmr,ascenseur,escalator,gid,last_update,last_update_fme,the_geom,adresse,localise_face_a_adresse,commune,insee
tcl_sytral.tclarret.1,1,24 Aout,"87A:A,ZI1A:A",true,false,false,12454,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.909327661397975 45.6828643108669),9 AVENUE DU 24 AOUT 1944,true,Corbas,69273
tcl_sytral.tclarret.17,17,A. Pare-Seignemartin,"24A:A,34A:R",true,false,false,12462,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.882851418377526 45.73617124571958),67 RUE SEIGNEMARTIN,true,Lyon 8e Arrondissement,69388
tcl_sytral.tclarret.18,18,Corbas Gabriel Peri,76A:R,false,false,false,12463,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.916826240889187 45.67543681969096),100 AVENUE GABRIEL PERI,true,Corbas,69273
tcl_sytral.tclarret.19,19,Corbas Gabriel Peri,76A:A,false,false,false,12464,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.917770397933648 45.6758561543442),100 AVENUE GABRIEL PERI,false,Corbas,69273
tcl_sytral.tclarret.24,24,Agronomie,"19A:A,3A:A,5A:A,PL3A:A",true,false,false,12467,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.785719058844167 45.77480224317896),8 AVENUE DE VERDUN,false,Écully,69081
tcl_sytral.tclarret.117,117,Baraillon,"142A:R,5A:R,72D:R,98G:R",true,false,false,12509,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.759943364126277 45.76411327180364),63 AVENUE DU 11 NOVEMBRE 1918,false,Tassin-la-Demi-Lune,69244
tcl_sytral.tclarret.118,118,Barbesi,60A:R,true,false,false,12510,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.864552457270732 45.668154586069406),2 RUE DES BLEUETS,false,Feyzin,69276
tcl_sytral.tclarret.30823,30823,Le Four,"77A:A,77A:R",true,false,false,17719,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.877063376927706 45.85626369154982),294 ROUTE DU TILLEUL,false,Cailloux-sur-Fontaines,69033
tcl_sytral.tclarret.45803,45803,Yves Chauvin,GE2A:R,false,false,false,16156,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.829637095088418 45.648390167908836),RUE DU RHONE,false,Solaize,69296
tcl_sytral.tclarret.34455,34455,Timbaud - Charbonnier,ZI1A:R,true,false,false,15128,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.905979461571831 45.69341055354648),CHEMIN DU CHARBONNIER,false,Vénissieux,69259
