id;ligne;direction;delaipassage;type;heurepassage;idtarretdestination;coursetheorique;gid;last_update_fme
11883;C1A;Gare Part-Dieu V.Merle;Proche;E;2024-09-02 19:43:43;35834;C1A-040A_x00A3_:1:1:38;1;2024-09-02 19:43:09
11881;C1A;Gare Part-Dieu V.Merle;1 min;E;2024-09-02 19:44:27;35834;C1A-040A_x00A3_:1:1:38;2;2024-09-02 19:43:09
35958;C1A;Gare Part-Dieu V.Merle;3 min;E;2024-09-02 19:46:43;35834;C1A-040A_x00A3_:1:1:38;3;2024-09-02 19:43:09
10458;C1A;Gare Part-Dieu V.Merle;4 min;E;2024-09-02 19:48:19;35834;C1A-040A_x00A3_:1:1:38;4;2024-09-02 19:43:09
11442;C1A;Gare Part-Dieu V.Merle;6 min;E;2024-09-02 19:49:34;35834;C1A-040A_x00A3_:1:1:38;5;2024-09-02 19:43:09
47543;C1A;Gare Part-Dieu V.Merle;7 min;E;2024-09-02 19:50:58;35834;C1A-040A_x00A3_:1:1:38;6;2024-09-02 19:43:09
42955;C1A;Gare Part-Dieu V.Merle;8 min;E;2024-09-02 19:51:43;35834;C1A-040A_x00A3_:1:1:38;7;2024-09-02 19:43:09
36994;C1A;Gare Part-Dieu V.Merle;10 min;E;2024-09-02 19:53:53;35834;C1A-040A_x00A3_:1:1:38;8;2024-09-02 19:43:09
46191;C1A;Gare Part-Dieu V.Merle;12 min;E;2024-09-02 19:55:53;35834;C1A-040A_x00A3_:1:1:38;9;2024-09-02 19:43:09
11883;C1A;Gare Part-Dieu V.Merle;2 min;E;2024-09-02 19:46:18;35834;C1A-040A_x00A3_:3:1:35;10;2024-09-02 19:43:09
11881;C1A;Gare Part-Dieu V.Merle;3 min;E;2024-09-02 19:47:02;35834;C1A-040A_x00A3_:3:1:35;11;2024-09-02 19:43:09
35958;C1A;Gare Part-Dieu V.Merle;5 min;E;2024-09-02 19:49:18;35834;C1A-040A_x00A3_:3:1:35;12;2024-09-02 19:43:09
2768;C1A;Gare Part-Dieu V.Merle;Proche;E;2024-09-02 19:43:18;35834;C1A-040A_x00A3_:3:1:35;13;2024-09-02 19:43:09
35776;C1A;Gare Part-Dieu V.Merle;1 min;E;2024-09-02 19:45:19;35834;C1A-040A_x00A3_:3:1:35;14;2024-09-02 19:43:09
42214;C1A;Gare Part-Dieu V.Merle;1 min;E;2024-09-02 19:45:00;35834;C1A-040A_x00A3_:6:1:33;15;2024-09-02 19:43:09
41101;C1A;Gare Part-Dieu V.Merle;2 min;E;2024-09-02 19:46:19;35834;C1A-040A_x00A3_:6:1:33;16;2024-09-02 19:43:09
1212;C1A;Gare Part-Dieu V.Merle;4 min;E;2024-09-02 19:47:27;35834;C1A-040A_x00A3_:6:1:33;17;2024-09-02 19:43:09
2055;C1A;Gare Part-Dieu V.Merle;5 min;E;2024-09-02 19:49:00;35834;C1A-040A_x00A3_:6:1:33;18;2024-09-02 19:43:09
2057;C1A;Gare Part-Dieu V.Merle;6 min;E;2024-09-02 19:50:00;35834;C1A-040A_x00A3_:6:1:33;19;2024-09-02 19:43:09
333;C1A;Gare Part-Dieu V.Merle;8 min;E;2024-09-02 19:52:00;35834;C1A-040A_x00A3_:6:1:33;20;2024-09-02 19:43:09
2052;C1A;Gare Part-Dieu V.Merle;10 min;E;2024-09-02 19:53:33;35834;C1A-040A_x00A3_:6:1:33;21;2024-09-02 19:43:09
2768;C1A;Gare Part-Dieu V.Merle;11 min;E;2024-09-02 19:55:00;35834;C1A-040A_x00A3_:6:1:33;22;2024-09-02 19:43:09
334;C1A;Cuire;Proche;E;2024-09-02 19:43:47;42214;C1A-040A_x00A3_:2:1:38;23;2024-09-02 19:43:09
2058;C1A;Cuire;2 min;E;2024-09-02 19:45:36;42214;C1A-040A_x00A3_:2:1:38;24;2024-09-02 19:43:09
47984;C1A;Cuire;3 min;E;2024-09-02 19:46:47;42214;C1A-040A_x00A3_:2:1:38;25;2024-09-02 19:43:09
1213;C1A;Cuire;4 min;E;2024-09-02 19:48:21;42214;C1A-040A_x00A3_:2:1:38;26;2024-09-02 19:43:09
41214;C1A;Cuire;6 min;E;2024-09-02 19:49:31;42214;C1A-040A_x00A3_:2:1:38;27;2024-09-02 19:43:09
35775;C1A;Cuire;4 min;E;2024-09-02 19:47:59;42214;C1A-040A_x00A3_:4:1:35;28;2024-09-02 19:43:09
2767;C1A;Cuire;7 min;E;2024-09-02 19:51:07;42214;C1A-040A_x00A3_:4:1:35;29;2024-09-02 19:43:09
2051;C1A;Cuire;8 min;E;2024-09-02 19:52:15;42214;C1A-040A_x00A3_:4:1:35;30;2024-09-02 19:43:09
334;C1A;Cuire;10 min;E;2024-09-02 19:54:07;42214;C1A-040A_x00A3_:4:1:35;31;2024-09-02 19:43:09
2058;C1A;Cuire;11 min;E;2024-09-02 19:55:20;42214;C1A-040A_x00A3_:4:1:35;32;2024-09-02 19:43:09
47984;C1A;Cuire;12 min;E;2024-09-02 19:56:07;42214;C1A-040A_x00A3_:4:1:35;33;2024-09-02 19:43:09
1213;C1A;Cuire;14 min;E;2024-09-02 19:57:41;42214;C1A-040A_x00A3_:4:1:35;34;2024-09-02 19:43:09
